"","Distance_km","Elev_m","ET14_mm","ET15_mm","ET16_mm","ET17_mm","ET18_mm","ET19_mm","ETMN_mm","Distance_m"
"71",3.55,1311.30329463772,771.461672165022,895.757004947014,829.426546709315,900.472867421608,807.470415444477,814.287526570463,836.479308480623,3550
"72",3.6,1310.83099581497,707.676472966506,852.353218617319,761.486431614338,814.51393183036,771.729825253928,750.087336564572,776.307899992082,3600
"73",3.65,1316.53306641676,713.266972074093,862.480289188762,792.181387064639,878.158507704641,775.704534304511,780.067140852002,800.309835715686,3650
"74",3.7,1310.74747749498,734.572936169263,900.661206639446,845.822656437158,918.391328307893,824.882436477441,822.590979352617,841.153591843444,3700
"75",3.75,1311.04735525956,834.480987389019,982.025896344683,954.33883200653,1019.78308013524,914.959037172628,872.725922302295,929.718942591758,3750
"76",3.8,1311.52795887744,932.313225395535,1080.2042290075,1085.84552523027,1128.53790811578,1047.67827823243,1002.19873598148,1046.12966058486,3800
"77",3.85,1312.00856249531,1026.44366193766,1144.3096521462,1133.2486296638,1149.30903420939,1036.46991120165,1057.47860421236,1091.20996281111,3850
"78",3.9,1312.48916611318,1030.74745196244,1165.22582594986,1167.12855569087,1109.07129828704,1094.94949522373,1119.87943350859,1114.50039632792,3900
"79",3.95,1312.96976973105,1064.68168476514,1193.83780259434,1227.9090204851,1028.26343806783,1133.76298052958,1173.78775384121,1137.04046705892,3950
"80",4,1313.28152175209,897.211104226474,1034.11440388705,1048.29086111988,988.820259560184,1008.46082298593,971.1336311167,991.338511654225,4000
"81",4.05,1311.85045435464,850.418080926424,1009.14152034768,1010.27525283256,1082.72246963074,967.008050163642,680.319941253363,933.314205424706,4050
"82",4.1,1311.21497590772,766.109439651994,925.534563187781,896.161553399558,987.577844404082,864.510361031818,582.352250763387,837.040997969892,4100
"83",4.15,1315.45329928175,841.898564385345,1070.58987139517,1042.62137417238,1081.90277904734,932.093199360274,819.205773494679,964.718605461268,4150
"84",4.2,1314.63015947816,837.505841577913,1102.45094785687,1021.08680488979,823.193825778599,848.100879521959,614.908244055282,874.541094366846,4200
"85",4.25,1316.01553310159,823.259404032002,1103.85655828362,927.227161269179,611.671955197524,817.542440000695,792.238931043215,845.966059800597,4250
"86",4.3,1315.46668783292,766.394175924899,963.60532533698,793.898392753865,566.250116793731,718.067238499566,655.21982314399,743.905841617301,4300
"87",4.35,1309.57753083931,785.438943685056,999.239730339144,857.807947431425,583.333471073587,773.42281972632,546.987958610175,757.705142567463,4350
"88",4.4,1313.81541862729,886.231091502339,1133.38789166871,1038.76244279977,832.685525305785,923.091321919023,633.870477200493,908.004771450257,4400
"89",4.45,1309.61270407657,848.853920982553,1114.80901786126,1051.42925080735,851.284820418208,899.787580273844,727.783532946611,915.658029251842,4450
"90",4.5,1310.52279854957,830.172141956017,1026.69202672926,985.558825402922,971.415642999601,858.690835859344,860.468548413511,922.166312605719,4500
"91",4.55,1320.24060764215,819.924527600588,1002.05026503372,996.54828273001,1013.10595631766,865.332960386317,880.170682242844,929.522076806497,4550
"92",4.6,1310.44594888555,747.185181101421,906.259487894527,879.574048014311,927.318507343981,806.863550324982,818.353556011445,847.592390940581,4600
"93",4.65,1314.23171196256,689.471726063683,868.000701939055,812.884991959111,896.069019498067,756.559676534737,777.383353692502,800.061570741457,4650
"94",4.7,1312.56233654054,647.357664038859,826.656592664305,773.50280590572,750.905989108319,699.624743027765,734.651993113484,738.783337648337,4700
"95",4.75,1311.17629059937,625.222957988317,784.583068881656,734.87602981433,844.013614253218,677.654742649398,716.153592043018,730.41730431624,4750
"96",4.8,1310.76185522539,778.539025998077,920.193803344803,913.431648428885,981.60419860587,824.797860406262,855.527936858034,879.015761875769,4800
"97",4.85,1310.62336713827,905.560337499549,1020.46683809039,1025.16831434103,1065.17505221555,947.019628951386,967.231793220486,988.437002892426,4850
"98",4.9,1312.74763800567,918.174479782387,1033.56549243108,1030.18472236294,1073.2015619351,949.7522251914,983.324822562854,998.033876586035,4900
"99",4.95,1315.22281330708,892.520944189644,978.735085765376,947.369417816595,1019.3583539237,884.722915667526,921.173223015986,940.646665556381,4950
"100",5,1314,906.443262202735,1078.46348777329,1057.16725425006,1082.26008963522,930.823147259783,975.97756533927,1005.18910056023,5000
"101",5.05,1313.67317305339,915.163255423793,1129.95744809075,1143.13733671554,1111.67896476673,930.381933167313,1015.52318574286,1040.97364845285,5050
"102",5.1,1312.10501742753,857.933294045378,1080.03486884912,1061.77541818095,1044.27826303716,863.58971356641,956.876460324554,977.414659734267,5100
"103",5.15,1314.31736599434,778.697490066714,992.292649326574,911.462438226147,920.07827549804,748.81581908571,859.748947765971,868.515957873639,5150
"104",5.2,1314.53662131717,864.45957480114,1124.13275514935,1041.02919430904,1033.40308698112,844.123622528297,930.814050350167,972.993735478229,5200
"105",5.25,1312.20617721838,749.113778782548,1067.41268366935,934.079088314734,923.637584837528,747.072329339704,859.43406895783,880.124926192382,5250
"106",5.3,1310.41687300222,692.934201293265,1052.05898654613,862.059122172099,831.638813364985,665.035876050494,759.73258916725,810.576561047374,5300
"107",5.35,1309.71477879679,640.963120295814,951.250332647912,733.624571394997,769.948270718768,634.903068846912,726.925007488294,742.935729740934,5350
"108",5.4,1314.87287441117,634.208584359801,925.723233266473,692.984399914452,748.073861791615,622.385069963718,721.022031016006,724.06618078503,5400
"109",5.45,1312.80361269834,684.268536332626,995.446590606393,754.232591470348,803.244576043504,674.896063524555,766.785218577606,779.812267995312,5450
"110",5.5,1310.82260440248,684.692427700223,951.5801341625,730.169681806454,788.785469169274,667.154370496621,773.108816019626,765.915180410028,5500
"111",5.55,1310.50185767209,646.856835087961,868.145688116253,662.34497842651,730.723124355639,612.694356266433,708.094369218723,704.80988893781,5550
"112",5.6,1312.10619652809,645.030453510992,870.972778520167,680.927284041611,718.755424009256,620.294525514654,701.118157343022,706.183119245002,5600
"113",5.65,1314.09118958467,753.538542054378,971.617734676981,836.344707880691,839.196501205843,767.79284668185,816.054133388102,830.757408572536,5650
